,kong/kong,traefik/traefik,haproxy/haproxy
2015-10-28,5,1,5.0
2015-10-29,3,8,1.0
2015-10-30,7,4,2.0
2015-10-31,0,0,0.0
2015-11-01,0,2,3.0
2015-11-02,1,13,4.0
2015-11-03,2,1,3.0
2015-11-04,0,1,2.0
2015-11-05,2,2,2.0
2015-11-06,1,1,2.0
2015-11-07,3,0,0.0
2015-11-08,3,1,1.0
2015-11-09,2,0,3.0
2015-11-10,26,0,1.0
2015-11-11,0,0,0.0
2015-11-12,1,0,0.0
2015-11-13,0,2,1.0
2015-11-14,0,0,0.0
2015-11-15,0,0,0.0
2015-11-16,6,1,0.0
2015-11-17,0,1,0.0
2015-11-18,2,0,1.0
2015-11-19,1,2,0.0
2015-11-20,0,3,0.0
2015-11-21,0,0,0.0
2015-11-22,0,1,0.0
2015-11-23,4,3,0.0
2015-11-24,0,2,0.0
2015-11-25,13,0,0.0
2015-11-26,0,0,7.0
2015-11-27,0,0,0.0
2015-11-28,0,0,0.0
2015-11-29,0,0,0.0
2015-11-30,1,0,0.0
2015-12-01,4,3,0.0
2015-12-02,10,1,0.0
2015-12-03,9,2,5.0
2015-12-04,9,2,5.0
2015-12-05,4,1,0.0
2015-12-06,6,0,0.0
2015-12-07,2,1,1.0
2015-12-08,8,0,1.0
2015-12-09,2,0,1.0
2015-12-10,2,0,0.0
2015-12-11,3,0,0.0
2015-12-12,0,0,0.0
2015-12-13,1,0,0.0
2015-12-14,0,0,9.0
2015-12-15,1,0,0.0
2015-12-16,1,0,2.0
2015-12-17,11,0,0.0
2015-12-18,7,0,0.0
2015-12-19,0,0,0.0
2015-12-20,0,0,9.0
2015-12-21,7,0,3.0
2015-12-22,0,0,2.0
2015-12-23,7,0,0.0
2015-12-24,6,0,0.0
2015-12-25,2,0,2.0
2015-12-26,0,0,0.0
2015-12-27,0,0,1.0
2015-12-28,0,0,2.0
2015-12-29,0,0,0.0
2015-12-30,0,0,0.0
2015-12-31,0,0,0.0
2016-01-01,0,0,0.0
2016-01-02,0,0,0.0
2016-01-03,0,2,0.0
2016-01-04,0,0,1.0
2016-01-05,2,0,0.0
2016-01-06,4,0,5.0
2016-01-07,5,0,0.0
2016-01-08,9,1,1.0
2016-01-09,2,0,0.0
2016-01-10,0,0,0.0
2016-01-11,3,0,1.0
2016-01-12,9,1,0.0
2016-01-13,6,1,6.0
2016-01-14,4,3,1.0
2016-01-15,4,1,2.0
2016-01-16,3,0,0.0
2016-01-17,0,0,0.0
2016-01-18,2,1,1.0
2016-01-19,2,1,0.0
2016-01-20,0,4,1.0
2016-01-21,0,1,5.0
2016-01-22,6,2,1.0
2016-01-23,1,0,0.0
2016-01-24,0,0,0.0
2016-01-25,0,0,5.0
2016-01-26,2,0,1.0
2016-01-27,5,10,2.0
2016-01-28,1,0,0.0
2016-01-29,5,4,0.0
2016-01-30,9,0,0.0
2016-01-31,2,0,0.0
2016-02-01,5,0,0.0
2016-02-02,0,0,0.0
2016-02-03,15,2,4.0
2016-02-04,8,0,0.0
2016-02-05,11,1,0.0
2016-02-06,3,1,0.0
2016-02-07,0,0,0.0
2016-02-08,3,2,0.0
2016-02-09,6,2,18.0
2016-02-10,6,7,1.0
2016-02-11,12,0,2.0
2016-02-12,2,2,12.0
2016-02-13,0,3,0.0
2016-02-14,0,0,0.0
2016-02-15,0,2,0.0
2016-02-16,3,2,3.0
2016-02-17,4,2,3.0
2016-02-18,2,5,0.0
2016-02-19,5,0,5.0
2016-02-20,0,0,2.0
2016-02-21,0,0,0.0
2016-02-22,0,12,0.0
2016-02-23,0,1,2.0
2016-02-24,3,8,4.0
2016-02-25,9,4,1.0
2016-02-26,10,3,0.0
2016-02-27,0,0,4.0
2016-02-28,0,0,0.0
2016-02-29,1,2,0.0
2016-03-01,0,2,0.0
2016-03-02,3,2,0.0
2016-03-03,1,1,0.0
2016-03-04,0,3,0.0
2016-03-05,0,5,0.0
2016-03-06,0,0,0.0
2016-03-07,2,0,1.0
2016-03-08,2,3,4.0
2016-03-09,55,4,0.0
2016-03-10,9,0,6.0
2016-03-11,5,0,51.0
2016-03-12,0,0,0.0
2016-03-13,0,0,7.0
2016-03-14,4,4,0.0
2016-03-15,1,1,1.0
2016-03-16,4,1,0.0
2016-03-17,0,0,4.0
2016-03-18,0,0,0.0
2016-03-19,0,0,1.0
2016-03-20,0,0,0.0
2016-03-21,5,6,0.0
2016-03-22,4,0,0.0
2016-03-23,9,4,0.0
2016-03-24,1,0,3.0
2016-03-25,2,2,1.0
2016-03-26,0,0,0.0
2016-03-27,0,2,0.0
2016-03-28,0,2,0.0
2016-03-29,0,2,2.0
2016-03-30,1,1,32.0
2016-03-31,0,5,1.0
2016-04-01,4,5,0.0
2016-04-02,0,3,0.0
2016-04-03,0,0,3.0
2016-04-04,1,1,0.0
2016-04-05,1,8,5.0
2016-04-06,3,10,2.0
2016-04-07,2,7,2.0
2016-04-08,3,2,0.0
2016-04-09,4,0,1.0
2016-04-10,2,0,0.0
2016-04-11,4,0,1.0
2016-04-12,0,2,6.0
2016-04-13,2,13,1.0
2016-04-14,9,4,3.0
2016-04-15,0,3,1.0
2016-04-16,0,4,0.0
2016-04-17,0,0,0.0
2016-04-18,0,1,0.0
2016-04-19,5,8,0.0
2016-04-20,1,4,2.0
2016-04-21,0,1,7.0
2016-04-22,0,8,0.0
2016-04-23,0,0,0.0
2016-04-24,0,0,0.0
2016-04-25,2,2,3.0
2016-04-26,7,2,0.0
2016-04-27,6,11,1.0
2016-04-28,1,4,0.0
2016-04-29,0,0,4.0
2016-04-30,0,0,0.0
2016-05-01,0,0,0.0
2016-05-02,0,2,3.0
2016-05-03,0,6,1.0
2016-05-04,0,0,2.0
2016-05-05,0,4,0.0
2016-05-06,1,1,4.0
2016-05-07,0,3,0.0
2016-05-08,0,0,0.0
2016-05-09,0,2,2.0
2016-05-10,3,1,3.0
2016-05-11,0,0,0.0
2016-05-12,2,6,0.0
2016-05-13,3,2,2.0
2016-05-14,0,0,1.0
2016-05-15,0,5,0.0
2016-05-16,0,0,0.0
2016-05-17,0,3,2.0
2016-05-18,1,4,4.0
2016-05-19,1,4,6.0
2016-05-20,1,1,0.0
2016-05-21,0,0,0.0
2016-05-22,0,0,0.0
2016-05-23,1,8,0.0
2016-05-24,13,4,0.0
2016-05-25,3,2,4.0
2016-05-26,13,5,3.0
2016-05-27,52,17,0.0
2016-05-28,2,2,0.0
2016-05-29,0,0,0.0
2016-05-30,1,9,0.0
2016-05-31,11,2,2.0
2016-06-01,3,9,5.0
2016-06-02,1,5,0.0
2016-06-03,0,3,0.0
2016-06-04,0,1,0.0
2016-06-05,0,0,0.0
2016-06-06,3,2,0.0
2016-06-07,1,13,3.0
2016-06-08,3,1,3.0
2016-06-09,2,2,0.0
2016-06-10,8,0,0.0
2016-06-11,0,3,0.0
2016-06-12,0,1,1.0
2016-06-13,5,0,1.0
2016-06-14,4,0,2.0
2016-06-15,7,0,0.0
2016-06-16,3,2,3.0
2016-06-17,1,0,1.0
2016-06-18,1,5,0.0
2016-06-19,0,0,0.0
2016-06-20,0,4,7.0
2016-06-21,1,0,8.0
2016-06-22,4,5,1.0
2016-06-23,6,10,0.0
2016-06-24,9,0,3.0
2016-06-25,0,0,0.0
2016-06-26,0,0,1.0
2016-06-27,5,0,1.0
2016-06-28,4,0,2.0
2016-06-29,1,0,2.0
2016-06-30,4,0,1.0
2016-07-01,5,0,0.0
2016-07-02,0,0,0.0
2016-07-03,0,0,0.0
2016-07-04,3,1,0.0
2016-07-05,3,18,2.0
2016-07-06,2,0,0.0
2016-07-07,7,0,0.0
2016-07-08,9,0,0.0
2016-07-09,1,0,0.0
2016-07-10,0,0,0.0
2016-07-11,10,2,0.0
2016-07-12,21,1,1.0
2016-07-13,8,6,2.0
2016-07-14,2,5,2.0
2016-07-15,3,2,0.0
2016-07-16,0,0,0.0
2016-07-17,0,1,0.0
2016-07-18,2,5,0.0
2016-07-19,7,5,0.0
2016-07-20,9,4,0.0
2016-07-21,1,16,0.0
2016-07-22,1,2,0.0
2016-07-23,2,0,0.0
2016-07-24,0,0,0.0
2016-07-25,0,0,0.0
2016-07-26,0,0,5.0
2016-07-27,3,2,1.0
2016-07-28,10,7,0.0
2016-07-29,7,0,0.0
2016-07-30,4,0,0.0
2016-07-31,0,3,0.0
2016-08-01,7,1,0.0
2016-08-02,5,0,2.0
2016-08-03,1,2,0.0
2016-08-04,4,0,0.0
2016-08-05,4,7,0.0
2016-08-06,4,1,0.0
2016-08-07,0,1,3.0
2016-08-08,12,1,2.0
