,pytorch/vision,huggingface/transformers,tensorflow/models
2018-12-29,0,0,0
2018-12-30,1,0,0
2018-12-31,0,0,0
2019-01-01,0,0,0
2019-01-02,0,1,1
2019-01-03,0,4,2
2019-01-04,0,0,7
2019-01-05,0,1,0
2019-01-06,0,0,0
2019-01-07,0,13,22
2019-01-08,3,7,7
2019-01-09,0,1,1
2019-01-10,0,5,1
2019-01-11,0,2,7
2019-01-12,0,0,1
2019-01-13,0,3,0
2019-01-14,0,5,1
2019-01-15,0,4,3
2019-01-16,0,8,1
2019-01-17,0,2,3
2019-01-18,0,1,1
2019-01-19,0,1,1
2019-01-20,0,0,0
2019-01-21,0,0,0
2019-01-22,0,1,0
2019-01-23,0,0,0
2019-01-24,0,0,0
2019-01-25,1,0,0
2019-01-26,0,0,1
2019-01-27,0,1,0
2019-01-28,0,4,0
2019-01-29,0,4,0
2019-01-30,0,4,1
2019-01-31,0,1,1
2019-02-01,0,4,6
2019-02-02,0,0,1
2019-02-03,0,0,1
2019-02-04,0,5,0
2019-02-05,0,16,1
2019-02-06,0,4,2
2019-02-07,0,12,0
2019-02-08,0,16,1
2019-02-09,0,7,1
2019-02-10,0,0,1
2019-02-11,1,15,3
2019-02-12,2,2,4
2019-02-13,4,8,2
2019-02-14,4,1,7
2019-02-15,0,2,1
2019-02-16,0,1,0
2019-02-17,0,6,0
2019-02-18,2,16,0
2019-02-19,0,3,1
2019-02-20,0,5,0
2019-02-21,1,4,5
2019-02-22,0,1,4
2019-02-23,1,1,1
2019-02-24,0,1,1
2019-02-25,0,0,1
2019-02-26,1,2,0
2019-02-27,1,9,2
2019-02-28,2,1,4
2019-03-01,1,0,3
2019-03-02,0,0,1
2019-03-03,0,2,0
2019-03-04,0,1,0
2019-03-05,0,3,0
2019-03-06,1,11,2
2019-03-07,3,2,5
2019-03-08,0,2,0
2019-03-09,4,5,0
2019-03-10,0,0,0
2019-03-11,3,5,1
2019-03-12,0,4,2
2019-03-13,0,2,2
2019-03-14,0,9,0
2019-03-15,0,2,0
2019-03-16,0,2,0
2019-03-17,0,2,0
2019-03-18,0,7,1
2019-03-19,1,0,3
2019-03-20,1,9,2
2019-03-21,0,12,2
2019-03-22,0,0,2
2019-03-23,0,0,0
2019-03-24,1,6,0
2019-03-25,2,2,1
2019-03-26,6,1,4
2019-03-27,0,8,2
2019-03-28,2,2,5
2019-03-29,3,3,4
2019-03-30,0,2,2
2019-03-31,0,0,0
2019-04-01,1,1,2
2019-04-02,2,4,2
2019-04-03,1,16,4
2019-04-04,2,0,2
2019-04-05,2,0,3
2019-04-06,0,0,0
2019-04-07,0,4,0
2019-04-08,2,0,5
2019-04-09,5,2,0
2019-04-10,1,0,2
2019-04-11,0,11,2
2019-04-12,2,3,3
2019-04-13,0,0,0
2019-04-14,0,0,0
2019-04-15,1,24,0
2019-04-16,1,6,0
2019-04-17,1,16,7
2019-04-18,2,0,3
2019-04-19,0,0,0
2019-04-20,0,0,3
2019-04-21,0,4,0
2019-04-22,0,2,5
2019-04-23,0,4,3
2019-04-24,2,3,9
2019-04-25,7,7,2
2019-04-26,1,0,4
2019-04-27,0,1,0
2019-04-28,0,0,0
2019-04-29,1,1,5
2019-04-30,3,7,1
2019-05-01,1,4,2
2019-05-02,1,7,2
2019-05-03,1,0,1
2019-05-04,0,0,1
2019-05-05,0,1,0
2019-05-06,2,0,2
2019-05-07,4,3,2
2019-05-08,2,7,2
2019-05-09,0,3,2
2019-05-10,1,1,5
2019-05-11,0,2,2
2019-05-12,0,0,0
2019-05-13,0,1,0
2019-05-14,1,0,3
2019-05-15,0,0,3
2019-05-16,0,0,2
2019-05-17,1,0,0
2019-05-18,1,4,2
2019-05-19,7,0,0
2019-05-20,5,0,1
2019-05-21,8,0,5
2019-05-22,8,1,8
2019-05-23,3,3,6
2019-05-24,1,0,7
2019-05-25,1,0,0
2019-05-26,0,0,1
2019-05-27,2,2,0
2019-05-28,0,0,13
2019-05-29,3,0,7
2019-05-30,1,4,2
2019-05-31,1,8,7
2019-06-01,0,11,0
2019-06-02,0,0,0
2019-06-03,3,3,12
2019-06-04,0,0,2
2019-06-05,3,0,14
2019-06-06,1,6,6
2019-06-07,4,0,1
2019-06-08,0,0,0
2019-06-09,0,0,0
2019-06-10,0,1,1
2019-06-11,4,3,2
2019-06-12,2,1,3
2019-06-13,4,0,12
2019-06-14,6,14,4
2019-06-15,1,5,0
2019-06-16,0,0,0
2019-06-17,1,10,0
2019-06-18,1,32,4
2019-06-19,1,12,6
2019-06-20,4,10,8
2019-06-21,0,5,5
2019-06-22,0,7,2
2019-06-23,0,2,0
2019-06-24,7,5,2
2019-06-25,1,4,1
2019-06-26,3,9,1
2019-06-27,0,3,0
2019-06-28,2,5,4
2019-06-29,1,2,0
2019-06-30,0,0,0
2019-07-01,1,1,0
2019-07-02,2,9,3
2019-07-03,2,9,1
2019-07-04,6,3,0
2019-07-05,2,19,0
2019-07-06,2,0,0
2019-07-07,0,0,0
2019-07-08,1,3,5
2019-07-09,2,17,2
2019-07-10,1,6,1
2019-07-11,1,17,5
2019-07-12,4,11,0
2019-07-13,0,4,0
2019-07-14,0,2,0
2019-07-15,2,19,3
2019-07-16,1,23,3
2019-07-17,1,9,0
2019-07-18,0,6,7
2019-07-19,4,0,9
2019-07-20,0,1,3
2019-07-21,0,2,1
2019-07-22,1,4,1
2019-07-23,5,16,5
2019-07-24,3,3,10
2019-07-25,0,7,5
2019-07-26,5,11,2
2019-07-27,0,3,0
2019-07-28,0,0,0
2019-07-29,0,1,2
2019-07-30,0,0,8
2019-07-31,3,3,2
2019-08-01,2,1,5
2019-08-02,1,0,5
2019-08-03,0,1,1
2019-08-04,1,4,0
2019-08-05,3,20,3
2019-08-06,4,5,6
2019-08-07,3,9,5
2019-08-08,4,8,2
2019-08-09,0,3,8
2019-08-10,0,2,2
2019-08-11,0,1,0
2019-08-12,1,5,4
2019-08-13,0,4,9
2019-08-14,0,4,12
2019-08-15,0,6,3
2019-08-16,0,10,9
2019-08-17,0,2,2
2019-08-18,0,6,0
2019-08-19,0,6,13
2019-08-20,0,32,15
2019-08-21,1,13,6
2019-08-22,0,5,8
2019-08-23,0,8,7
2019-08-24,0,2,1
2019-08-25,0,0,1
2019-08-26,0,5,6
2019-08-27,0,12,5
2019-08-28,4,44,5
2019-08-29,3,6,3
2019-08-30,4,57,4
2019-08-31,0,23,0
2019-09-01,0,1,0
2019-09-02,2,8,0
2019-09-03,0,0,3
2019-09-04,0,10,4
2019-09-05,0,23,6
2019-09-06,2,6,7
2019-09-07,0,0,0
2019-09-08,0,19,0
2019-09-09,4,16,3
2019-09-10,3,10,1
2019-09-11,1,8,3
2019-09-12,1,4,2
2019-09-13,0,3,2
2019-09-14,0,0,0
2019-09-15,0,0,0
2019-09-16,1,8,2
2019-09-17,3,2,6
2019-09-18,5,18,6
2019-09-19,0,27,2
2019-09-20,5,2,8
2019-09-21,0,0,0
2019-09-22,1,1,0
2019-09-23,4,12,4
2019-09-24,6,38,2
2019-09-25,0,14,1
2019-09-26,1,40,2
2019-09-27,2,18,2
2019-09-28,0,2,0
2019-09-29,0,2,1
2019-09-30,4,3,3
2019-10-01,2,6,2
2019-10-02,3,6,1
2019-10-03,2,37,3
2019-10-04,3,10,3
