,python/cpython,php/php-src,ruby/ruby
2016-03-05,1,0,3
2016-03-06,15,2,5
2016-03-07,8,5,14
2016-03-08,22,3,12
2016-03-09,4,21,20
2016-03-10,1,28,9
2016-03-11,10,18,7
2016-03-12,9,0,3
2016-03-13,8,8,5
2016-03-14,21,7,10
2016-03-15,15,20,16
2016-03-16,9,14,15
2016-03-17,13,62,30
2016-03-18,17,16,20
2016-03-19,13,0,12
2016-03-20,10,15,8
2016-03-21,10,28,15
2016-03-22,28,9,8
2016-03-23,36,7,8
2016-03-24,19,5,17
2016-03-25,26,13,8
2016-03-26,4,9,6
2016-03-27,14,5,7
2016-03-28,3,4,11
2016-03-29,11,40,13
2016-03-30,13,24,8
2016-03-31,11,13,17
2016-04-01,10,6,4
2016-04-02,4,0,5
2016-04-03,8,13,1
2016-04-04,1,24,10
2016-04-05,8,19,6
2016-04-06,9,31,9
2016-04-07,0,18,9
2016-04-08,10,26,5
2016-04-09,14,13,6
2016-04-10,12,6,8
2016-04-11,19,13,12
2016-04-12,12,22,5
2016-04-13,10,3,14
2016-04-14,12,16,16
2016-04-15,24,10,22
2016-04-16,21,23,6
2016-04-17,9,0,2
2016-04-18,12,23,13
2016-04-19,23,7,6
2016-04-20,8,19,6
2016-04-21,1,14,10
2016-04-22,2,1,17
2016-04-23,15,8,19
2016-04-24,24,7,15
2016-04-25,13,6,9
2016-04-26,13,7,13
2016-04-27,3,27,13
2016-04-28,6,27,7
2016-04-29,11,50,8
2016-04-30,2,7,40
2016-05-01,14,17,19
2016-05-02,8,17,13
2016-05-03,2,14,7
2016-05-04,12,15,11
2016-05-05,4,17,11
2016-05-06,4,21,10
2016-05-07,15,7,6
2016-05-08,15,6,15
2016-05-09,2,8,10
2016-05-10,6,16,4
2016-05-11,9,14,12
2016-05-12,6,24,10
2016-05-13,19,12,6
2016-05-14,3,14,5
2016-05-15,16,4,7
2016-05-16,38,22,9
2016-05-17,22,15,19
2016-05-18,16,6,27
2016-05-19,7,2,11
2016-05-20,18,0,14
2016-05-21,6,3,16
2016-05-22,12,0,13
2016-05-23,2,3,16
2016-05-24,6,11,16
2016-05-25,4,23,14
2016-05-26,11,3,11
2016-05-27,12,3,6
2016-05-28,20,9,13
2016-05-29,10,2,9
2016-05-30,8,18,18
2016-05-31,0,18,9
2016-06-01,12,15,19
2016-06-02,32,28,12
2016-06-03,36,7,5
2016-06-04,54,8,7
2016-06-05,21,12,13
2016-06-06,11,23,9
2016-06-07,10,30,19
2016-06-08,31,14,15
2016-06-09,15,19,12
2016-06-10,17,1,9
2016-06-11,34,3,10
2016-06-12,57,9,7
2016-06-13,21,18,7
2016-06-14,52,21,13
2016-06-15,15,21,6
2016-06-16,4,20,3
2016-06-17,8,17,4
2016-06-18,20,1,11
2016-06-19,4,25,12
2016-06-20,11,33,13
2016-06-21,2,58,10
2016-06-22,14,27,3
2016-06-23,4,14,3
2016-06-24,19,7,10
2016-06-25,17,7,3
2016-06-26,6,25,6
2016-06-27,20,22,6
2016-06-28,6,25,15
2016-06-29,1,9,8
2016-06-30,8,9,10
2016-07-01,7,6,11
2016-07-02,0,0,4
2016-07-03,8,17,2
2016-07-04,0,12,4
2016-07-05,2,57,8
2016-07-06,14,34,20
2016-07-07,9,9,8
2016-07-08,7,33,4
2016-07-09,1,3,6
2016-07-10,22,7,8
2016-07-11,11,43,8
2016-07-12,5,54,7
2016-07-13,0,30,23
2016-07-14,13,43,16
2016-07-15,15,4,11
2016-07-16,11,10,1
2016-07-17,12,36,4
2016-07-18,12,13,2
2016-07-19,9,68,2
2016-07-20,0,38,11
2016-07-21,0,26,5
2016-07-22,8,38,11
2016-07-23,12,44,4
2016-07-24,2,20,5
2016-07-25,15,38,3
2016-07-26,7,13,17
2016-07-27,4,45,1
2016-07-28,12,51,7
2016-07-29,10,23,3
2016-07-30,9,27,4
2016-07-31,8,5,3
2016-08-01,0,5,8
2016-08-02,4,36,7
2016-08-03,11,65,10
2016-08-04,12,24,2
2016-08-05,9,18,8
2016-08-06,9,15,3
2016-08-07,3,28,7
2016-08-08,12,15,6
2016-08-09,16,28,12
2016-08-10,17,15,7
2016-08-11,2,34,8
2016-08-12,13,15,8
2016-08-13,6,16,8
2016-08-14,18,24,5
2016-08-15,16,11,5
