,apache/groovy,scala/scala,jetbrains/kotlin
2023-07-22,1,4,1
2023-07-23,3,2,0
2023-07-24,5,0,51
2023-07-25,4,0,37
2023-07-26,0,0,51
2023-07-27,0,0,82
2023-07-28,0,0,65
2023-07-29,6,0,3
2023-07-30,7,0,0
2023-07-31,18,0,68
2023-08-01,6,0,44
2023-08-02,12,3,41
2023-08-03,4,1,84
2023-08-04,0,1,38
2023-08-05,0,0,0
2023-08-06,4,0,0
2023-08-07,2,2,53
2023-08-08,4,6,42
2023-08-09,4,3,36
2023-08-10,0,2,36
2023-08-11,0,1,37
2023-08-12,0,0,2
2023-08-13,1,0,3
2023-08-14,3,4,20
2023-08-15,0,5,13
2023-08-16,2,7,31
2023-08-17,1,5,42
2023-08-18,3,3,26
2023-08-19,0,0,1
2023-08-20,0,0,0
2023-08-21,0,2,30
2023-08-22,3,0,43
2023-08-23,1,5,33
2023-08-24,1,0,40
2023-08-25,3,2,51
2023-08-26,2,2,1
2023-08-27,0,1,0
2023-08-28,1,13,29
2023-08-29,1,1,74
2023-08-30,0,4,70
2023-08-31,3,2,41
2023-09-01,0,3,20
2023-09-02,2,1,1
2023-09-03,0,1,3
2023-09-04,0,1,27
2023-09-05,0,1,66
2023-09-06,0,1,55
2023-09-07,1,1,17
2023-09-08,2,2,48
2023-09-09,0,2,2
2023-09-10,4,0,0
2023-09-11,12,0,17
2023-09-12,0,0,15
2023-09-13,2,1,72
2023-09-14,0,0,51
2023-09-15,2,0,42
2023-09-16,1,1,0
2023-09-17,0,0,0
2023-09-18,4,0,40
2023-09-19,1,5,118
2023-09-20,2,5,44
2023-09-21,0,7,48
2023-09-22,0,0,47
2023-09-23,1,0,7
2023-09-24,0,0,6
2023-09-25,0,1,1
2023-09-26,0,9,4
2023-09-27,0,5,1
2023-09-28,4,1,4
2023-09-29,1,0,1
2023-09-30,2,0,0
2023-10-01,0,0,0
2023-10-02,0,0,29
2023-10-03,7,0,21
2023-10-04,2,0,19
2023-10-05,1,1,41
2023-10-06,0,0,29
2023-10-07,0,0,0
2023-10-08,0,2,1
2023-10-09,0,0,21
2023-10-10,0,0,41
2023-10-11,0,1,16
2023-10-12,0,0,69
2023-10-13,0,0,47
2023-10-14,0,1,0
2023-10-15,0,0,0
2023-10-16,1,2,48
2023-10-17,6,3,51
2023-10-18,1,10,72
2023-10-19,1,0,61
2023-10-20,0,0,47
2023-10-21,1,0,0
2023-10-22,0,0,0
2023-10-23,2,1,26
2023-10-24,0,1,51
2023-10-25,4,0,40
2023-10-26,2,1,36
2023-10-27,0,3,29
2023-10-28,2,2,0
2023-10-29,0,0,0
2023-10-30,0,1,25
2023-10-31,1,0,15
2023-11-01,0,4,22
2023-11-02,1,4,39
2023-11-03,2,0,9
2023-11-04,1,1,0
2023-11-05,0,3,6
2023-11-06,11,9,52
2023-11-07,3,6,38
2023-11-08,0,2,36
2023-11-09,0,2,45
2023-11-10,0,0,41
2023-11-11,0,1,2
2023-11-12,0,0,0
2023-11-13,4,0,31
2023-11-14,1,5,56
2023-11-15,1,7,49
2023-11-16,0,0,87
2023-11-17,0,0,28
2023-11-18,10,0,2
2023-11-19,1,0,0
2023-11-20,0,0,69
2023-11-21,5,0,40
2023-11-22,1,2,42
2023-11-23,3,6,42
2023-11-24,4,3,32
2023-11-25,0,0,1
2023-11-26,5,0,7
2023-11-27,0,4,29
2023-11-28,3,0,53
2023-11-29,5,6,28
2023-11-30,0,2,37
2023-12-01,2,2,41
2023-12-02,0,0,0
2023-12-03,0,0,0
2023-12-04,0,2,41
2023-12-05,0,6,82
2023-12-06,2,7,18
2023-12-07,1,3,72
2023-12-08,0,3,37
2023-12-09,3,0,1
2023-12-10,0,0,0
2023-12-11,0,4,10
2023-12-12,0,2,57
2023-12-13,2,5,70
2023-12-14,5,3,29
2023-12-15,1,2,27
2023-12-16,5,0,3
2023-12-17,0,2,3
2023-12-18,3,7,41
2023-12-19,0,13,86
2023-12-20,4,2,29
2023-12-21,3,0,67
2023-12-22,3,5,2
2023-12-23,1,0,0
2023-12-24,1,2,1
2023-12-25,0,0,0
2023-12-26,2,0,2
2023-12-27,1,0,3
2023-12-28,0,1,11
2023-12-29,1,0,4
2023-12-30,6,0,0
2023-12-31,1,0,0
2024-01-01,1,0,0
2024-01-02,1,0,30
2024-01-03,0,2,35
2024-01-04,2,4,36
2024-01-05,4,4,56
2024-01-06,1,0,3
2024-01-07,0,0,0
2024-01-08,1,3,51
2024-01-09,5,0,43
2024-01-10,1,0,57
2024-01-11,6,4,33
2024-01-12,7,1,48
2024-01-13,5,7,0
2024-01-14,1,3,1
2024-01-15,4,6,39
2024-01-16,1,14,55
2024-01-17,0,1,59
2024-01-18,2,12,46
2024-01-19,0,4,55
2024-01-20,2,0,1
2024-01-21,3,0,0
2024-01-22,1,2,42
2024-01-23,2,2,39
2024-01-24,1,1,43
2024-01-25,5,3,22
2024-01-26,3,7,46
2024-01-27,1,1,1
2024-01-28,1,0,1
2024-01-29,3,1,45
2024-01-30,6,7,49
2024-01-31,1,2,52
2024-02-01,0,0,24
2024-02-02,0,4,23
2024-02-03,0,0,0
2024-02-04,2,0,0
2024-02-05,1,1,29
2024-02-06,0,3,23
2024-02-07,1,2,27
2024-02-08,0,6,47
2024-02-09,0,0,64
2024-02-10,0,0,4
2024-02-11,1,0,10
2024-02-12,0,20,52
2024-02-13,0,3,54
2024-02-14,3,2,53
2024-02-15,2,0,58
2024-02-16,0,0,17
2024-02-17,0,0,0
2024-02-18,0,0,7
2024-02-19,0,3,67
2024-02-20,0,0,42
2024-02-21,3,3,49
2024-02-22,12,4,40
2024-02-23,5,6,46
2024-02-24,3,2,0
2024-02-25,1,0,10
2024-02-26,4,2,61
2024-02-27,2,0,69
2024-02-28,0,0,98
2024-02-29,1,0,41
2024-03-01,0,2,31
2024-03-02,0,1,1
2024-03-03,0,0,1
2024-03-04,3,0,45
2024-03-05,1,4,52
2024-03-06,0,1,48
2024-03-07,0,2,56
2024-03-08,6,1,38
2024-03-09,3,1,32
2024-03-10,7,2,3
2024-03-11,2,2,62
2024-03-12,0,0,71
2024-03-13,1,2,52
2024-03-14,0,9,79
2024-03-15,0,1,61
2024-03-16,0,4,3
2024-03-17,0,2,0
2024-03-18,1,0,32
2024-03-19,1,3,46
2024-03-20,0,0,50
2024-03-21,1,1,41
2024-03-22,3,0,40
2024-03-23,0,0,2
2024-03-24,0,4,0
2024-03-25,0,2,31
2024-03-26,8,5,46
2024-03-27,4,3,29
2024-03-28,0,0,49
2024-03-29,0,0,10
2024-03-30,1,1,0
2024-03-31,2,0,4
2024-04-01,0,0,1
2024-04-02,0,1,53
2024-04-03,0,0,56
2024-04-04,2,3,58
2024-04-05,0,2,25
2024-04-06,9,4,0
2024-04-07,0,0,1
2024-04-08,1,12,31
2024-04-09,1,7,31
2024-04-10,1,4,24
2024-04-11,0,4,29
2024-04-12,0,1,54
2024-04-13,0,2,2
2024-04-14,0,0,0
2024-04-15,0,6,42
2024-04-16,1,1,68
2024-04-17,0,4,59
2024-04-18,5,0,70
2024-04-19,10,1,64
2024-04-20,1,0,0
2024-04-21,1,1,0
2024-04-22,1,0,51
2024-04-23,2,0,52
2024-04-24,4,0,42
2024-04-25,1,0,57
2024-04-26,0,0,37
2024-04-27,0,0,7
2024-04-28,1,0,0
2024-04-29,0,0,36
2024-04-30,1,0,31
2024-05-01,3,2,2
2024-05-02,0,0,46
2024-05-03,3,1,14
2024-05-04,1,0,0
2024-05-05,0,1,0
2024-05-06,0,3,36
2024-05-07,0,1,55
2024-05-08,3,5,60
2024-05-09,2,0,9
2024-05-10,2,0,33
2024-05-11,0,0,0
2024-05-12,1,1,4
2024-05-13,1,3,51
2024-05-14,1,0,35
2024-05-15,0,0,76
2024-05-16,1,0,33
2024-05-17,0,0,31
2024-05-18,4,0,5
2024-05-19,4,0,2
2024-05-20,1,1,8
2024-05-21,0,6,47
2024-05-22,0,6,47
2024-05-23,1,0,33
2024-05-24,0,0,13
2024-05-25,0,0,3
2024-05-26,2,0,0
2024-05-27,0,0,68
2024-05-28,1,0,71
2024-05-29,2,2,105
2024-05-30,1,0,67
2024-05-31,0,0,31
2024-06-01,4,1,6
2024-06-02,7,0,0
2024-06-03,2,1,34
2024-06-04,5,7,70
2024-06-05,2,2,43
2024-06-06,1,1,30
2024-06-07,0,1,94
2024-06-08,0,0,1
2024-06-09,0,1,0
2024-06-10,1,1,35
2024-06-11,0,2,66
2024-06-12,3,1,24
2024-06-13,1,2,28
2024-06-14,5,1,34
2024-06-15,12,0,1
2024-06-16,4,0,9
2024-06-17,2,2,88
2024-06-18,2,0,80
2024-06-19,2,3,84
2024-06-20,4,2,38
2024-06-21,2,1,89
2024-06-22,4,4,17
2024-06-23,3,3,1
2024-06-24,13,5,69
2024-06-25,3,1,57
2024-06-26,2,3,45
2024-06-27,1,0,42
2024-06-28,0,0,54
2024-06-29,0,0,23
2024-06-30,1,0,4
2024-07-01,1,0,60
2024-07-02,2,0,95
2024-07-03,1,2,34
2024-07-04,0,0,19
2024-07-05,1,0,48
2024-07-06,5,0,1
2024-07-07,1,0,0
2024-07-08,0,0,37
2024-07-09,2,1,56
2024-07-10,2,5,49
2024-07-11,0,6,33
2024-07-12,1,4,30
2024-07-13,1,0,4
2024-07-14,1,1,0
2024-07-15,0,7,36
2024-07-16,0,1,53
2024-07-17,0,1,39
2024-07-18,1,6,50
2024-07-19,1,0,14
2024-07-20,0,0,1
2024-07-21,0,3,0
2024-07-22,0,3,72
2024-07-23,1,0,37
2024-07-24,0,0,45
2024-07-25,0,0,53
2024-07-26,0,1,29
2024-07-27,0,0,2
2024-07-28,0,0,0
2024-07-29,0,0,34
2024-07-30,0,2,43
2024-07-31,0,3,24
2024-08-01,0,0,18
2024-08-02,0,0,39
2024-08-03,0,0,0
2024-08-04,1,0,0
2024-08-05,0,0,50
2024-08-06,0,1,25
2024-08-07,0,14,54
2024-08-08,0,10,14
2024-08-09,0,2,22
2024-08-10,3,0,1
2024-08-11,0,0,1
2024-08-12,0,0,41
2024-08-13,1,9,21
