,sickchill/sickchill,Sonarr/Sonarr,midgetspy/sick-beard
2014-03-10,9,4.0,0
2014-03-11,19,7.0,0
2014-03-12,2,1.0,3
2014-03-13,4,5.0,1
2014-03-14,6,9.0,0
2014-03-15,0,1.0,0
2014-03-16,14,0.0,6
2014-03-17,1,6.0,0
2014-03-18,5,1.0,9
2014-03-19,3,1.0,0
2014-03-20,9,11.0,0
2014-03-21,6,5.0,0
2014-03-22,0,3.0,8
2014-03-23,0,0.0,1
2014-03-24,0,0.0,5
2014-03-25,8,1.0,5
2014-03-26,7,7.0,0
2014-03-27,7,2.0,2
2014-03-28,7,1.0,0
2014-03-29,13,0.0,0
2014-03-30,3,1.0,0
2014-03-31,2,0.0,0
2014-04-01,0,7.0,0
2014-04-02,4,4.0,0
2014-04-03,1,3.0,1
2014-04-04,0,8.0,0
2014-04-05,2,0.0,1
2014-04-06,0,0.0,1
2014-04-07,0,6.0,4
2014-04-08,0,4.0,0
2014-04-09,0,3.0,2
2014-04-10,0,5.0,0
2014-04-11,0,3.0,1
2014-04-12,0,5.0,5
2014-04-13,0,2.0,1
2014-04-14,0,1.0,0
2014-04-15,0,6.0,3
2014-04-16,0,3.0,1
2014-04-17,0,2.0,3
2014-04-18,0,0.0,0
2014-04-19,0,1.0,0
2014-04-20,0,0.0,0
2014-04-21,0,0.0,1
2014-04-22,34,7.0,0
2014-04-23,10,0.0,6
2014-04-24,12,0.0,2
2014-04-25,24,2.0,0
2014-04-26,33,5.0,0
2014-04-27,35,1.0,0
2014-04-28,30,2.0,3
2014-04-29,21,0.0,3
2014-04-30,22,1.0,0
2014-05-01,25,2.0,2
2014-05-02,22,4.0,0
2014-05-03,32,0.0,1
2014-05-04,33,1.0,4
2014-05-05,24,0.0,2
2014-05-06,13,8.0,0
2014-05-07,19,0.0,1
2014-05-08,17,5.0,1
2014-05-09,4,0.0,0
2014-05-10,13,1.0,1
2014-05-11,32,8.0,0
2014-05-12,36,7.0,0
2014-05-13,31,4.0,1
2014-05-14,24,2.0,0
2014-05-15,16,0.0,0
2014-05-16,7,5.0,0
2014-05-17,24,3.0,4
2014-05-18,17,3.0,0
2014-05-19,13,1.0,1
2014-05-20,12,5.0,7
2014-05-21,12,0.0,0
2014-05-22,3,0.0,0
2014-05-23,29,0.0,0
2014-05-24,0,3.0,0
2014-05-25,2,5.0,1
2014-05-26,13,3.0,4
2014-05-27,4,1.0,0
2014-05-28,4,2.0,1
2014-05-29,16,2.0,0
2014-05-30,13,15.0,0
2014-05-31,11,0.0,0
2014-06-01,8,0.0,1
2014-06-02,3,2.0,0
2014-06-03,2,4.0,0
2014-06-04,14,7.0,3
2014-06-05,15,9.0,0
2014-06-06,11,1.0,0
2014-06-07,19,5.0,1
2014-06-08,10,2.0,2
2014-06-09,0,3.0,8
2014-06-10,2,2.0,3
2014-06-11,4,0.0,5
2014-06-12,7,2.0,0
2014-06-13,0,2.0,5
2014-06-14,1,0.0,2
2014-06-15,14,1.0,0
2014-06-16,11,1.0,0
2014-06-17,24,0.0,0
2014-06-18,33,0.0,4
2014-06-19,28,5.0,0
2014-06-20,6,1.0,0
2014-06-21,3,0.0,0
2014-06-22,13,2.0,2
2014-06-23,7,1.0,0
2014-06-24,13,2.0,4
2014-06-25,9,3.0,0
2014-06-26,15,0.0,1
2014-06-27,5,1.0,0
2014-06-28,3,2.0,0
2014-06-29,7,2.0,2
2014-06-30,40,7.0,0
2014-07-01,3,0.0,0
2014-07-02,7,4.0,5
2014-07-03,11,0.0,0
2014-07-04,0,2.0,1
2014-07-05,4,2.0,1
2014-07-06,17,0.0,0
2014-07-07,8,8.0,0
2014-07-08,14,1.0,0
2014-07-09,13,10.0,1
2014-07-10,1,8.0,4
2014-07-11,15,2.0,0
2014-07-12,7,0.0,4
2014-07-13,0,2.0,2
2014-07-14,1,3.0,1
2014-07-15,13,4.0,0
2014-07-16,0,0.0,0
2014-07-17,0,0.0,0
2014-07-18,10,4.0,1
2014-07-19,18,2.0,0
2014-07-20,12,0.0,0
2014-07-21,19,7.0,0
2014-07-22,9,2.0,3
2014-07-23,2,0.0,0
2014-07-24,8,0.0,0
2014-07-25,3,9.0,0
2014-07-26,2,3.0,1
2014-07-27,19,6.0,0
2014-07-28,16,2.0,0
2014-07-29,9,1.0,3
2014-07-30,8,5.0,0
2014-07-31,12,3.0,0
2014-08-01,2,4.0,0
2014-08-02,0,4.0,0
2014-08-03,5,2.0,0
2014-08-04,1,0.0,0
2014-08-05,1,9.0,0
2014-08-06,3,3.0,0
2014-08-07,2,3.0,0
2014-08-08,17,3.0,0
2014-08-09,22,6.0,0
2014-08-10,2,5.0,0
2014-08-11,12,11.0,0
2014-08-12,1,6.0,0
2014-08-13,11,1.0,0
2014-08-14,4,4.0,0
2014-08-15,3,1.0,0
2014-08-16,0,2.0,1
2014-08-17,12,1.0,5
2014-08-18,20,1.0,1
2014-08-19,3,1.0,2
2014-08-20,5,2.0,0
2014-08-21,0,1.0,0
2014-08-22,9,2.0,0
2014-08-23,8,11.0,0
2014-08-24,2,3.0,0
2014-08-25,14,19.0,0
2014-08-26,8,7.0,1
2014-08-27,4,4.0,0
2014-08-28,0,5.0,0
2014-08-29,7,2.0,0
2014-08-30,6,14.0,0
2014-08-31,8,4.0,1
2014-09-01,5,7.0,0
2014-09-02,0,12.0,2
2014-09-03,6,4.0,3
2014-09-04,0,2.0,3
2014-09-05,4,4.0,0
2014-09-06,8,3.0,0
2014-09-07,16,0.0,0
2014-09-08,3,0.0,1
2014-09-09,1,0.0,0
2014-09-10,8,1.0,2
2014-09-11,3,6.0,0
2014-09-12,4,8.0,3
2014-09-13,2,3.0,0
2014-09-14,1,2.0,0
2014-09-15,22,3.0,0
2014-09-16,4,1.0,0
2014-09-17,4,0.0,2
2014-09-18,2,0.0,0
2014-09-19,9,1.0,0
2014-09-20,10,1.0,0
2014-09-21,6,0.0,0
2014-09-22,1,1.0,0
2014-09-23,3,2.0,2
2014-09-24,4,3.0,0
2014-09-25,9,1.0,0
2014-09-26,0,2.0,0
2014-09-27,0,5.0,0
2014-09-28,1,7.0,0
2014-09-29,2,0.0,1
2014-09-30,4,2.0,2
2014-10-01,4,1.0,0
2014-10-02,18,2.0,0
2014-10-03,0,13.0,0
2014-10-04,6,1.0,0
2014-10-05,6,3.0,4
2014-10-06,2,2.0,1
2014-10-07,9,0.0,1
2014-10-08,15,0.0,0
2014-10-09,3,0.0,1
2014-10-10,4,0.0,0
