,mui/material-ui,ant-design/ant-design,twbs/bootstrap
2023-05-07,0.0,3,0
2023-05-08,6.0,13,0
2023-05-09,7.800000000000001,8,0
2023-05-10,4.72,10,0
2023-05-11,7.592,8,1
2023-05-12,0.8063999999999996,13,0
2023-05-13,-1.3916160000000009,3,0
2023-05-14,-1.587596800000001,4,0
2023-05-15,2.9278284799999996,12,0
2023-05-16,6.380571648,15,2
2023-05-17,7.4171754496,12,3
2023-05-18,-1.3214565375999996,14,0
2023-05-19,7.9623017472,9,1
2023-05-20,-3.210115072,1,0
2023-05-21,-1.5822683136000009,0,0
2023-05-22,2.9538333695999994,15,0
2023-05-23,3.415675392,7,0
2023-05-24,1.0495361024000003,5,0
2023-05-25,0.3262266368000004,15,0
2023-05-26,1.662863872,15,1
2023-05-27,-1.3429598207999995,6,1
2023-05-28,-0.7708887040000001,5,0
2023-05-29,9.54234112,3,0
2023-05-30,-0.3553428479999994,8,2
2023-05-31,2.5099382784,7,3
2023-06-01,1.359350272,5,11
2023-06-02,0.5310363647999998,6,0
2023-06-03,0.7773381631999998,3,1
2023-06-04,-0.1311680512000002,4,0
2023-06-05,7.130931199999999,12,0
2023-06-06,-1.179253759999999,9,1
2023-06-07,-1.2887342080000002,19,0
2023-06-08,1.2772006911999998,2,1
2023-06-09,4.0899124224,4,0
2023-06-10,-0.5183537152,0,0
2023-06-11,3.0443927551999996,1,0
2023-06-12,9.6176310272,12,0
2023-06-13,-0.9315697663999991,10,3
2023-06-14,3.2117198847999995,8,0
2023-06-15,7.0035972096,10,0
2023-06-16,3.098418176,7,0
2023-06-17,-1.7036151808000004,0,0
2023-06-18,-0.7002301440000007,2,1
2023-06-19,4.7048482815999995,8,0
2023-06-20,3.896436326400001,10,0
2023-06-21,4.6507529216000005,10,0
2023-06-22,1.4010734592,2,0
2023-06-23,2.81103872,0,0
2023-06-24,-1.2467219456,8,0
2023-06-25,0.5908806655999996,21,6
2023-06-26,3.7158578175999994,10,0
