,getredash/redash,apache/superset,metabase/metabase
2023-07-02,0,0,0.0
2023-07-03,1,1,11.0
2023-07-04,0,1,6.800000000000001
2023-07-05,0,4,8.32
2023-07-06,2,6,12.552
2023-07-07,6,6,2.1183999999999994
2023-07-08,3,0,-2.7912960000000018
2023-07-09,1,0,-2.3521408000000017
2023-07-10,11,6,9.395450879999999
2023-07-11,6,11,5.5729018880000005
2023-07-12,0,6,-0.6720589823999998
2023-07-13,1,5,8.4421458944
2023-07-14,0,1,5.252117913600001
2023-07-15,1,0,-1.7244463103999994
2023-07-16,1,0,-2.305013964800001
2023-07-17,6,0,7.5792695295999994
2023-07-18,2,3,1.1488122880000007
2023-07-19,6,6,3.6408267776
2023-07-20,4,11,4.4714875904
2023-07-21,17,9,7.2367290368
2023-07-22,7,0,-3.5127297023999997
2023-07-23,6,0,-1.7646027776000008
2023-07-24,3,3,2.8725896191999993
2023-07-25,9,5,9.365478912
2023-07-26,11,5,2.8103030784000005
2023-07-27,6,7,4.269021286399999
2023-07-28,5,6,3.1128027136
2023-07-29,4,0,0.24909342720000005
2023-07-30,1,0,-2.1049047040000004
2023-07-31,6,3,8.79116032
2023-08-01,6,2,13.109330432
2023-08-02,3,5,8.2932798464
2023-08-03,1,7,8.0988430336
2023-08-04,0,3,11.917623193599999
2023-08-05,1,0,-6.0813518848
2023-08-06,1,0,-1.1516432384000015
2023-08-07,1,2,3.481695948799999
2023-08-08,0,4,3.0565529600000003
2023-08-09,0,4,13.949369344
2023-08-10,0,6,5.810913177600001
2023-08-11,0,13,2.2624319487999998
2023-08-12,0,0,-2.8983662591999995
2023-08-13,0,0,-1.3808211968000004
2023-08-14,0,3,20.327379456
2023-08-15,1,4,11.395789107200002
2023-08-16,2,4,9.906034585599999
2023-08-17,0,4,11.6762612736
2023-08-18,0,8,3.0301043712
2023-08-19,1,1,-4.616224358400001
2023-08-20,0,0,-2.4037454848000017
2023-08-21,2,5,7.480089497599999
2023-08-22,4,3,7.132737945600001
2023-08-23,6,6,0.5055772672000014
2023-08-24,4,7,10.6297126912
2023-08-25,1,5,2.262279577600001
2023-08-26,0,0,-2.7906409472
2023-08-27,0,1,-2.2411919360000008
2023-08-28,0,7,11.5650789376
2023-08-29,2,2,4.3146116096
2023-08-30,0,7,4.494052864
2023-08-31,5,7,3.5213869056
2023-09-01,4,6,1.7365094400000003
2023-09-02,1,0,-0.8369796096000002
2023-09-03,2,0,-1.9763355648000007
2023-09-04,1,0,0.7645648895999992
2023-09-05,1,1,6.671363584000001
2023-09-06,5,10,12.4895013888
2023-09-07,2,3,10.777440460800001
2023-09-08,2,2,4.0228400128
2023-09-09,0,1,-4.232949452800001
2023-09-10,0,0,-2.2802677760000014
2023-09-11,2,5,-0.5412625408000009
2023-09-12,6,4,2.6439388159999995
2023-09-13,0,0,3.1898028032
2023-09-14,1,5,0.8786695168000005
2023-09-15,0,2,0.21920358400000084
2023-09-16,0,0,-0.35646566399999946
2023-09-17,0,0,-0.9067969536
2023-09-18,0,7,6.49687808
2023-09-19,0,4,4.223953408
2023-09-20,2,2,2.9393878015999997
2023-09-21,2,3,5.9450102784
2023-09-22,0,2,11.317007872
2023-09-23,0,0,-4.1434621952
2023-09-24,0,0,-2.0075440128000013
2023-09-25,0,2,11.677990809599999
2023-09-26,0,5,8.420893696
