,elastic/kibana,grafana/grafana,getsentry/sentry
2021-08-29,0,2,0
2021-08-30,38,9,26
2021-08-31,44,16,42
2021-09-01,47,25,30
2021-09-02,26,17,24
2021-09-03,46,5,2
2021-09-04,0,0,0
2021-09-05,1,0,0
2021-09-06,19,12,0
2021-09-07,41,20,28
2021-09-08,53,19,17
2021-09-09,43,23,23
2021-09-10,26,21,16
2021-09-11,0,0,0
2021-09-12,1,1,0
2021-09-13,41,26,31
2021-09-14,41,18,25
2021-09-15,46,25,29
2021-09-16,31,17,20
2021-09-17,6,22,18
2021-09-18,3,0,0
2021-09-19,5,1,0
2021-09-20,25,23,31
2021-09-21,31,15,33
2021-09-22,39,14,34
2021-09-23,45,24,29
2021-09-24,3,2,18
2021-09-25,0,2,0
2021-09-26,3,0,0
2021-09-27,35,17,26
2021-09-28,39,18,35
2021-09-29,41,26,38
2021-09-30,32,21,25
2021-10-01,28,21,18
2021-10-02,2,0,3
2021-10-03,1,0,0
2021-10-04,58,14,28
2021-10-05,59,12,20
2021-10-06,61,22,44
2021-10-07,51,19,31
2021-10-08,12,15,52
2021-10-09,2,0,0
2021-10-10,2,0,0
2021-10-11,42,18,14
2021-10-12,64,27,33
2021-10-13,57,15,25
2021-10-14,56,23,25
2021-10-15,51,15,24
2021-10-16,6,1,0
2021-10-17,5,0,0
2021-10-18,57,21,34
2021-10-19,80,22,27
2021-10-20,69,27,25
2021-10-21,68,22,22
2021-10-22,5,18,30
2021-10-23,1,0,1
2021-10-24,0,0,0
2021-10-25,48,15,20
2021-10-26,75,26,22
2021-10-27,33,24,26
2021-10-28,39,18,24
2021-10-29,46,21,28
2021-10-30,8,0,0
2021-10-31,0,0,0
2021-11-01,38,16,19
2021-11-02,70,36,16
2021-11-03,53,21,30
2021-11-04,44,17,41
2021-11-05,41,20,21
2021-11-06,2,2,1
2021-11-07,2,1,0
2021-11-08,36,16,18
2021-11-09,54,28,31
2021-11-10,43,25,32
2021-11-11,69,27,29
2021-11-12,8,20,19
2021-11-13,1,1,3
2021-11-14,0,2,0
2021-11-15,47,26,31
2021-11-16,60,23,16
2021-11-17,35,36,13
2021-11-18,39,31,18
2021-11-19,40,36,14
2021-11-20,1,2,1
2021-11-21,2,0,0
2021-11-22,36,17,19
2021-11-23,49,25,31
2021-11-24,45,36,34
2021-11-25,25,16,14
2021-11-26,6,20,9
2021-11-27,2,0,0
2021-11-28,1,0,0
2021-11-29,40,31,21
2021-11-30,48,16,26
2021-12-01,49,25,30
2021-12-02,38,21,35
2021-12-03,40,14,21
2021-12-04,3,0,0
2021-12-05,0,0,0
2021-12-06,36,14,37
2021-12-07,59,10,14
2021-12-08,47,10,13
2021-12-09,40,10,36
2021-12-10,10,4,21
2021-12-11,0,0,1
2021-12-12,0,0,0
2021-12-13,40,18,9
2021-12-14,37,27,45
2021-12-15,37,20,39
2021-12-16,34,18,45
2021-12-17,35,17,17
2021-12-18,1,2,0
2021-12-19,0,1,0
2021-12-20,31,23,12
2021-12-21,49,20,13
2021-12-22,36,11,11
2021-12-23,25,9,14
2021-12-24,3,2,0
2021-12-25,0,0,0
2021-12-26,2,0,0
2021-12-27,12,4,0
2021-12-28,13,6,1
2021-12-29,4,1,4
2021-12-30,5,4,1
2021-12-31,2,0,0
2022-01-01,2,0,0
2022-01-02,0,0,0
2022-01-03,4,8,18
2022-01-04,25,24,24
2022-01-05,28,19,26
2022-01-06,23,14,24
2022-01-07,4,26,21
2022-01-08,0,0,0
2022-01-09,0,0,0
2022-01-10,36,21,32
2022-01-11,37,18,25
2022-01-12,45,15,27
2022-01-13,29,19,26
2022-01-14,27,14,18
2022-01-15,2,0,1
2022-01-16,0,0,0
2022-01-17,24,19,14
2022-01-18,44,15,19
2022-01-19,28,19,28
2022-01-20,45,19,27
2022-01-21,3,22,24
2022-01-22,0,1,1
2022-01-23,3,1,0
2022-01-24,28,17,17
2022-01-25,45,17,39
2022-01-26,27,15,27
2022-01-27,41,21,43
2022-01-28,35,17,25
2022-01-29,0,1,0
2022-01-30,1,0,0
2022-01-31,57,30,22
2022-02-01,65,22,26
2022-02-02,36,25,27
2022-02-03,33,33,23
2022-02-04,34,26,21
2022-02-05,2,1,2
2022-02-06,0,0,0
2022-02-07,32,25,22
2022-02-08,34,39,25
2022-02-09,35,40,19
2022-02-10,49,36,20
2022-02-11,41,33,18
2022-02-12,2,0,0
2022-02-13,0,0,0
2022-02-14,35,1,31
2022-02-15,43,27,38
2022-02-16,48,25,28
2022-02-17,43,30,21
2022-02-18,2,28,17
2022-02-19,0,2,0
2022-02-20,0,0,0
2022-02-21,14,17,9
2022-02-22,22,13,24
2022-02-23,37,20,50
2022-02-24,34,25,27
2022-02-25,4,22,25
2022-02-26,0,1,1
2022-02-27,1,0,0
2022-02-28,30,17,27
2022-03-01,34,18,40
2022-03-02,24,27,43
2022-03-03,40,33,41
2022-03-04,32,23,38
2022-03-05,0,0,3
2022-03-06,1,0,0
2022-03-07,39,8,46
2022-03-08,41,11,30
2022-03-09,59,11,29
2022-03-10,46,12,23
2022-03-11,3,11,28
2022-03-12,0,1,3
2022-03-13,0,0,0
2022-03-14,37,17,36
2022-03-15,61,18,44
2022-03-16,56,21,32
2022-03-17,38,19,34
2022-03-18,42,17,32
2022-03-19,2,1,0
2022-03-20,1,0,0
2022-03-21,51,25,21
2022-03-22,36,19,23
2022-03-23,39,22,28
2022-03-24,64,18,29
2022-03-25,9,12,22
2022-03-26,0,4,1
2022-03-27,3,0,0
2022-03-28,59,0,31
2022-03-29,79,23,53
2022-03-30,58,26,60
2022-03-31,50,31,28
2022-04-01,40,24,32
2022-04-02,3,2,1
2022-04-03,0,0,0
2022-04-04,37,28,42
2022-04-05,27,32,48
2022-04-06,32,35,29
2022-04-07,44,19,52
2022-04-08,6,22,28
2022-04-09,1,0,0
2022-04-10,1,0,0
2022-04-11,41,15,27
2022-04-12,39,33,33
2022-04-13,46,27,32
2022-04-14,52,23,30
2022-04-15,21,13,17
2022-04-16,5,0,1
2022-04-17,2,0,0
2022-04-18,28,4,28
2022-04-19,63,13,46
2022-04-20,39,41,43
2022-04-21,29,35,31
2022-04-22,5,22,24
2022-04-23,0,2,0
2022-04-24,1,2,0
2022-04-25,16,19,47
2022-04-26,33,22,35
2022-04-27,36,24,42
2022-04-28,29,38,39
2022-04-29,28,28,38
2022-04-30,1,0,0
2022-05-01,1,0,0
2022-05-02,25,22,16
2022-05-03,36,26,45
2022-05-04,55,31,33
2022-05-05,27,36,44
2022-05-06,34,24,23
2022-05-07,0,0,3
2022-05-08,1,1,1
2022-05-09,27,6,40
2022-05-10,35,4,47
2022-05-11,48,8,42
2022-05-12,46,13,38
2022-05-13,2,8,25
2022-05-14,0,0,14
2022-05-15,3,2,1
2022-05-16,35,28,42
2022-05-17,50,35,37
2022-05-18,53,29,43
2022-05-19,45,30,36
2022-05-20,51,27,33
2022-05-21,0,5,0
