,gohugoio/hugo,vercel/next.js,gatsbyjs/gatsby
2020-12-18,1,4,6
2020-12-19,2,0,1
2020-12-20,0,0,0
2020-12-21,0,3,3
2020-12-22,1,11,5
2020-12-23,1,0,1
2020-12-24,0,0,1
2020-12-25,0,1,0
2020-12-26,0,0,0
2020-12-27,0,2,0
2020-12-28,1,19,0
2020-12-29,0,13,7
2020-12-30,2,19,1
2020-12-31,8,13,0
2021-01-01,1,7,0
2021-01-02,1,2,0
2021-01-03,1,4,0
2021-01-04,0,36,16
2021-01-05,0,11,10
2021-01-06,0,19,2
2021-01-07,0,7,4
2021-01-08,3,0,12
2021-01-09,0,0,1
2021-01-10,0,1,0
2021-01-11,0,20,13
2021-01-12,0,2,9
2021-01-13,0,7,2
2021-01-14,0,6,12
2021-01-15,0,10,7
2021-01-16,0,1,0
2021-01-17,0,5,0
2021-01-18,1,4,10
2021-01-19,1,11,7
2021-01-20,2,5,7
2021-01-21,1,3,3
2021-01-22,4,8,5
2021-01-23,1,4,0
2021-01-24,0,3,0
2021-01-25,0,14,10
2021-01-26,0,16,6
2021-01-27,0,2,8
2021-01-28,0,2,9
2021-01-29,0,9,2
2021-01-30,0,2,0
2021-01-31,0,0,0
2021-02-01,4,5,0
2021-02-02,0,4,4
2021-02-03,0,7,4
2021-02-04,3,5,5
2021-02-05,0,6,6
2021-02-06,3,1,1
2021-02-07,0,5,0
2021-02-08,2,0,8
2021-02-09,3,5,15
2021-02-10,0,0,10
2021-02-11,0,5,10
2021-02-12,0,4,10
2021-02-13,0,0,0
2021-02-14,1,0,1
2021-02-15,2,2,8
2021-02-16,4,6,5
2021-02-17,0,3,11
2021-02-18,18,7,8
2021-02-19,5,6,22
2021-02-20,1,1,2
2021-02-21,0,1,4
2021-02-22,1,5,20
2021-02-23,4,3,15
2021-02-24,1,10,11
2021-02-25,1,6,15
2021-02-26,0,2,16
2021-02-27,0,3,5
2021-02-28,1,0,2
2021-03-01,0,7,23
2021-03-02,0,9,21
2021-03-03,3,8,8
2021-03-04,1,5,4
2021-03-05,0,4,12
2021-03-06,0,0,0
2021-03-07,0,1,0
2021-03-08,0,11,9
2021-03-09,1,7,8
2021-03-10,0,3,7
2021-03-11,1,3,7
2021-03-12,0,6,0
2021-03-13,2,0,0
2021-03-14,4,1,0
2021-03-15,0,8,8
2021-03-16,0,9,3
2021-03-17,0,5,4
2021-03-18,0,11,6
2021-03-19,0,10,4
2021-03-20,3,2,1
2021-03-21,11,0,0
2021-03-22,0,8,5
2021-03-23,0,11,7
2021-03-24,0,10,2
2021-03-25,0,1,6
2021-03-26,0,6,7
2021-03-27,0,0,0
2021-03-28,1,3,0
2021-03-29,1,12,5
2021-03-30,2,3,13
2021-03-31,0,4,0
2021-04-01,2,7,4
2021-04-02,0,7,4
2021-04-03,0,0,0
2021-04-04,0,2,0
2021-04-05,0,4,4
2021-04-06,1,6,9
2021-04-07,1,4,7
2021-04-08,0,8,5
2021-04-09,2,3,12
2021-04-10,0,0,0
2021-04-11,0,2,2
2021-04-12,2,10,12
2021-04-13,0,5,6
2021-04-14,0,5,4
2021-04-15,3,7,3
2021-04-16,1,4,5
2021-04-17,0,6,1
2021-04-18,0,6,0
2021-04-19,0,11,7
2021-04-20,13,34,14
2021-04-21,2,8,6
2021-04-22,2,9,14
2021-04-23,3,5,9
2021-04-24,0,1,0
2021-04-25,3,3,0
2021-04-26,1,3,7
2021-04-27,1,3,3
2021-04-28,0,8,7
2021-04-29,2,3,8
2021-04-30,3,7,9
2021-05-01,11,1,5
2021-05-02,5,0,0
2021-05-03,2,2,9
2021-05-04,1,1,6
2021-05-05,0,10,6
2021-05-06,0,5,17
2021-05-07,0,14,3
2021-05-08,1,0,0
2021-05-09,1,0,0
2021-05-10,1,14,2
2021-05-11,0,6,12
2021-05-12,0,6,7
2021-05-13,0,9,6
2021-05-14,1,10,0
2021-05-15,0,1,0
2021-05-16,0,5,0
2021-05-17,3,5,10
2021-05-18,0,8,8
2021-05-19,3,15,9
2021-05-20,0,3,6
2021-05-21,0,1,12
2021-05-22,0,3,0
2021-05-23,2,2,0
2021-05-24,2,7,0
2021-05-25,0,1,4
2021-05-26,0,2,2
2021-05-27,0,3,5
2021-05-28,1,6,6
2021-05-29,0,3,0
2021-05-30,1,0,0
2021-05-31,0,1,5
2021-06-01,0,4,3
2021-06-02,0,8,5
2021-06-03,0,8,8
2021-06-04,1,3,5
2021-06-05,1,3,0
2021-06-06,2,1,1
2021-06-07,2,15,12
2021-06-08,7,18,9
2021-06-09,0,17,3
2021-06-10,0,9,10
2021-06-11,0,15,4
2021-06-12,0,2,0
2021-06-13,1,3,0
2021-06-14,1,10,6
2021-06-15,0,13,1
2021-06-16,1,22,2
2021-06-17,2,17,5
2021-06-18,19,10,4
2021-06-19,1,0,0
2021-06-20,0,4,0
2021-06-21,1,4,4
2021-06-22,1,12,15
2021-06-23,0,6,7
2021-06-24,5,9,1
2021-06-25,1,7,5
2021-06-26,1,0,1
2021-06-27,5,0,0
2021-06-28,5,6,6
2021-06-29,7,5,8
2021-06-30,1,10,6
2021-07-01,4,13,10
2021-07-02,0,12,11
2021-07-03,1,0,0
2021-07-04,5,1,0
2021-07-05,9,2,6
2021-07-06,0,9,9
2021-07-07,2,10,2
2021-07-08,0,7,3
2021-07-09,0,7,6
2021-07-10,1,3,0
2021-07-11,0,2,0
2021-07-12,0,19,6
2021-07-13,0,5,7
2021-07-14,1,4,10
2021-07-15,6,8,10
2021-07-16,0,13,8
2021-07-17,0,0,1
2021-07-18,0,0,0
2021-07-19,1,9,7
2021-07-20,3,20,3
2021-07-21,10,5,3
2021-07-22,0,12,5
2021-07-23,0,11,7
2021-07-24,0,2,0
2021-07-25,1,9,0
2021-07-26,3,6,3
2021-07-27,3,10,3
2021-07-28,3,3,2
2021-07-29,2,7,3
2021-07-30,8,2,0
2021-07-31,0,1,1
2021-08-01,2,2,0
2021-08-02,3,9,3
2021-08-03,17,11,5
2021-08-04,1,6,9
2021-08-05,0,9,6
2021-08-06,0,7,9
2021-08-07,0,0,2
2021-08-08,0,1,0
2021-08-09,1,8,12
2021-08-10,2,7,4
2021-08-11,0,17,7
2021-08-12,0,16,4
2021-08-13,0,15,7
2021-08-14,1,12,0
2021-08-15,0,5,0
2021-08-16,1,10,9
2021-08-17,0,8,2
2021-08-18,0,10,2
2021-08-19,1,9,5
2021-08-20,0,7,9
2021-08-21,2,0,0
2021-08-22,2,1,0
2021-08-23,2,6,6
2021-08-24,0,10,4
2021-08-25,1,12,3
2021-08-26,0,3,12
2021-08-27,0,2,7
2021-08-28,0,1,0
2021-08-29,0,1,0
2021-08-30,0,7,7
2021-08-31,3,9,4
2021-09-01,2,6,7
2021-09-02,6,16,7
2021-09-03,0,7,6
2021-09-04,5,1,0
2021-09-05,0,1,0
2021-09-06,0,13,7
2021-09-07,0,18,8
2021-09-08,0,6,14
2021-09-09,0,8,9
2021-09-10,0,4,11
2021-09-11,0,3,4
2021-09-12,1,1,1
2021-09-13,0,14,9
2021-09-14,0,5,9
2021-09-15,0,11,13
2021-09-16,0,18,0
2021-09-17,2,13,6
2021-09-18,0,2,0
2021-09-19,1,2,1
2021-09-20,0,7,6
2021-09-21,0,19,4
2021-09-22,2,9,8
2021-09-23,1,4,2
2021-09-24,0,6,3
2021-09-25,0,0,0
2021-09-26,0,2,0
2021-09-27,0,6,5
2021-09-28,0,10,1
2021-09-29,0,10,2
2021-09-30,0,9,3
2021-10-01,0,8,4
2021-10-02,0,1,0
2021-10-03,0,2,1
2021-10-04,0,6,10
