,NomicFoundation/hardhat,wagmi-dev/wagmi,dethcrypto/typechain
2021-11-23,4,3,0
2021-11-24,3,1,0
2021-11-25,6,0,1
2021-11-26,4,1,0
2021-11-27,0,0,1
2021-11-28,0,2,0
2021-11-29,15,0,0
2021-11-30,2,0,0
2021-12-01,13,0,1
2021-12-02,3,0,1
2021-12-03,3,0,4
2021-12-04,0,0,0
2021-12-05,0,0,0
2021-12-06,0,0,0
2021-12-07,9,1,0
2021-12-08,0,0,2
2021-12-09,9,1,0
2021-12-10,1,0,0
2021-12-11,0,0,0
2021-12-12,0,2,0
2021-12-13,4,0,0
2021-12-14,9,0,0
2021-12-15,10,0,0
2021-12-16,8,0,0
2021-12-17,1,0,0
2021-12-18,0,0,0
2021-12-19,0,0,0
2021-12-20,18,0,0
2021-12-21,2,1,0
2021-12-22,2,2,0
2021-12-23,0,3,0
2021-12-24,0,0,0
2021-12-25,1,1,0
2021-12-26,0,5,0
2021-12-27,0,3,0
2021-12-28,0,9,0
2021-12-29,0,6,0
2021-12-30,1,12,1
2021-12-31,0,0,0
2022-01-01,0,1,0
2022-01-02,1,5,0
2022-01-03,5,8,0
2022-01-04,3,10,0
2022-01-05,6,2,0
2022-01-06,14,1,0
2022-01-07,12,1,1
2022-01-08,1,4,2
2022-01-09,1,3,0
2022-01-10,1,1,0
2022-01-11,7,1,0
2022-01-12,15,1,0
2022-01-13,8,2,0
2022-01-14,13,1,0
2022-01-15,1,7,0
2022-01-16,0,4,2
2022-01-17,10,2,0
2022-01-18,1,1,0
2022-01-19,2,2,0
2022-01-20,4,1,0
2022-01-21,11,1,0
2022-01-22,3,1,0
2022-01-23,2,0,0
2022-01-24,9,3,0
2022-01-25,3,0,0
2022-01-26,3,1,0
2022-01-27,2,0,0
2022-01-28,1,3,0
2022-01-29,0,5,0
2022-01-30,0,3,0
2022-01-31,5,0,0
2022-02-01,1,0,0
2022-02-02,10,1,0
2022-02-03,5,2,0
2022-02-04,16,0,0
2022-02-05,0,2,0
2022-02-06,0,0,0
2022-02-07,7,1,0
2022-02-08,10,0,0
2022-02-09,12,2,0
2022-02-10,13,3,0
2022-02-11,12,2,0
2022-02-12,4,0,0
2022-02-13,5,1,0
2022-02-14,14,7,0
2022-02-15,19,0,0
2022-02-16,21,1,0
2022-02-17,6,0,0
2022-02-18,24,1,0
2022-02-19,1,1,0
2022-02-20,1,5,0
2022-02-21,9,1,0
2022-02-22,20,0,0
2022-02-23,12,3,0
2022-02-24,13,0,0
2022-02-25,1,1,0
2022-02-26,1,1,0
2022-02-27,0,0,0
2022-02-28,7,2,0
2022-03-01,1,0,1
2022-03-02,29,1,0
2022-03-03,24,0,0
2022-03-04,12,0,0
2022-03-05,4,0,0
2022-03-06,0,0,1
2022-03-07,1,2,2
2022-03-08,1,0,0
2022-03-09,6,0,0
2022-03-10,9,0,2
2022-03-11,5,0,1
2022-03-12,0,0,1
2022-03-13,0,0,0
2022-03-14,4,5,0
2022-03-15,3,1,0
2022-03-16,5,0,5
2022-03-17,13,2,1
2022-03-18,3,0,3
2022-03-19,0,0,0
2022-03-20,0,0,2
2022-03-21,0,0,2
2022-03-22,0,0,0
2022-03-23,2,1,3
2022-03-24,9,0,3
2022-03-25,1,0,0
2022-03-26,0,0,0
2022-03-27,0,1,1
2022-03-28,5,0,0
2022-03-29,6,4,0
2022-03-30,6,0,0
2022-03-31,18,0,0
2022-04-01,6,1,0
2022-04-02,0,0,0
2022-04-03,0,1,0
2022-04-04,10,0,0
2022-04-05,12,1,0
2022-04-06,6,2,0
2022-04-07,1,0,0
2022-04-08,3,0,0
2022-04-09,0,1,0
2022-04-10,2,0,0
2022-04-11,3,0,0
2022-04-12,3,0,0
2022-04-13,3,0,0
2022-04-14,3,1,0
2022-04-15,2,1,0
2022-04-16,0,0,0
2022-04-17,6,0,0
2022-04-18,7,0,0
2022-04-19,2,4,0
2022-04-20,2,2,0
2022-04-21,6,0,0
2022-04-22,6,0,0
2022-04-23,1,0,0
2022-04-24,0,0,0
2022-04-25,2,6,0
2022-04-26,3,3,0
2022-04-27,25,0,0
2022-04-28,15,7,0
2022-04-29,6,3,0
2022-04-30,0,5,0
2022-05-01,0,2,0
2022-05-02,1,2,0
2022-05-03,14,1,0
2022-05-04,6,4,0
2022-05-05,7,3,0
2022-05-06,5,1,0
2022-05-07,13,0,0
2022-05-08,1,0,0
2022-05-09,7,6,0
2022-05-10,54,0,0
2022-05-11,25,2,0
2022-05-12,15,3,0
2022-05-13,3,0,0
2022-05-14,0,3,0
2022-05-15,0,1,1
2022-05-16,0,0,1
2022-05-17,9,0,0
2022-05-18,5,1,0
2022-05-19,5,3,0
2022-05-20,6,1,0
2022-05-21,0,6,0
2022-05-22,0,0,0
2022-05-23,14,0,0
2022-05-24,3,3,0
2022-05-25,9,1,1
2022-05-26,7,0,4
2022-05-27,15,3,0
2022-05-28,1,0,0
2022-05-29,12,0,0
2022-05-30,23,3,0
2022-05-31,12,2,0
2022-06-01,16,1,0
2022-06-02,18,1,0
2022-06-03,9,3,1
2022-06-04,0,1,0
2022-06-05,3,1,0
2022-06-06,16,2,0
2022-06-07,9,1,0
2022-06-08,25,0,0
2022-06-09,21,2,2
2022-06-10,22,3,0
2022-06-11,2,1,1
2022-06-12,0,0,0
2022-06-13,7,1,0
2022-06-14,16,0,0
2022-06-15,65,1,0
2022-06-16,51,1,6
2022-06-17,17,0,0
2022-06-18,2,1,0
2022-06-19,0,0,0
2022-06-20,0,1,0
2022-06-21,0,1,0
2022-06-22,1,1,0
2022-06-23,0,0,0
2022-06-24,1,0,0
2022-06-25,0,0,0
2022-06-26,0,3,0
2022-06-27,0,6,0
2022-06-28,2,5,0
2022-06-29,1,1,0
2022-06-30,19,1,0
2022-07-01,4,1,0
2022-07-02,0,0,0
2022-07-03,0,1,0
2022-07-04,16,3,0
2022-07-05,42,4,0
2022-07-06,34,2,0
2022-07-07,29,0,0
2022-07-08,11,0,0
2022-07-09,8,0,0
2022-07-10,0,0,0
2022-07-11,7,1,0
2022-07-12,8,0,0
2022-07-13,10,0,0
2022-07-14,8,0,0
2022-07-15,6,0,0
2022-07-16,3,0,0
2022-07-17,1,2,0
2022-07-18,7,3,0
2022-07-19,14,3,0
2022-07-20,9,6,0
2022-07-21,8,0,0
2022-07-22,1,4,0
2022-07-23,0,3,0
2022-07-24,0,2,0
2022-07-25,0,7,0
2022-07-26,0,4,0
2022-07-27,2,1,0
2022-07-28,1,0,0
2022-07-29,1,2,0
2022-07-30,0,0,0
2022-07-31,0,0,0
2022-08-01,0,0,0
2022-08-02,1,0,0
2022-08-03,4,0,0
2022-08-04,1,0,0
2022-08-05,2,5,0
2022-08-06,0,0,0
2022-08-07,0,0,0
2022-08-08,4,0,0
2022-08-09,4,1,0
2022-08-10,3,1,0
2022-08-11,16,3,0
2022-08-12,24,0,0
2022-08-13,0,2,0
2022-08-14,0,1,0
2022-08-15,6,0,0
2022-08-16,15,0,0
2022-08-17,4,1,0
2022-08-18,4,1,0
2022-08-19,2,0,0
2022-08-20,9,0,0
2022-08-21,3,0,0
2022-08-22,0,0,0
2022-08-23,0,1,0
2022-08-24,4,0,0
2022-08-25,0,0,0
2022-08-26,16,0,0
2022-08-27,47,0,0
2022-08-28,55,0,0
2022-08-29,2,0,0
2022-08-30,31,0,0
2022-08-31,30,0,0
2022-09-01,1,1,0
2022-09-02,7,1,0
2022-09-03,1,2,0
2022-09-04,5,0,0
2022-09-05,8,0,0
2022-09-06,10,3,0
2022-09-07,8,0,0
2022-09-08,4,1,0
2022-09-09,5,1,2
2022-09-10,3,0,0
2022-09-11,0,1,0
2022-09-12,3,0,0
2022-09-13,2,1,1
2022-09-14,33,0,0
2022-09-15,11,0,0
2022-09-16,4,3,0
2022-09-17,4,0,0
2022-09-18,0,1,0
2022-09-19,0,1,0
2022-09-20,3,1,0
2022-09-21,1,5,0
2022-09-22,2,2,0
2022-09-23,1,0,0
2022-09-24,1,0,0
2022-09-25,0,0,0
2022-09-26,1,1,0
2022-09-27,2,2,0
2022-09-28,14,3,0
2022-09-29,1,2,0
2022-09-30,16,0,0
2022-10-01,1,0,0
2022-10-02,0,0,0
2022-10-03,11,0,0
2022-10-04,6,0,0
2022-10-05,13,2,0
2022-10-06,5,1,0
2022-10-07,3,2,0
2022-10-08,1,0,0
2022-10-09,2,0,0
2022-10-10,3,0,0
2022-10-11,0,2,0
2022-10-12,4,0,0
2022-10-13,2,5,0
2022-10-14,0,2,0
2022-10-15,0,0,0
2022-10-16,0,1,0
2022-10-17,5,4,0
2022-10-18,3,1,0
2022-10-19,7,1,0
2022-10-20,3,0,0
2022-10-21,0,0,0
2022-10-22,0,0,0
2022-10-23,0,0,0
2022-10-24,2,0,0
2022-10-25,1,1,0
2022-10-26,8,5,0
