,neovim/neovim,pulsar-edit/pulsar,microsoft/vscode
2015-12-13,29,1,3
2015-12-14,1,9,11
2015-12-15,5,27,39
2015-12-16,6,11,31
2015-12-17,8,2,28
2015-12-18,6,14,32
2015-12-19,2,12,4
2015-12-20,3,2,5
2015-12-21,2,5,44
2015-12-22,11,6,31
2015-12-23,2,1,20
2015-12-24,1,6,2
2015-12-25,2,5,3
2015-12-26,3,0,11
2015-12-27,0,0,4
2015-12-28,0,15,16
2015-12-29,1,4,2
2015-12-30,3,9,12
2015-12-31,8,0,6
2016-01-01,10,5,8
2016-01-02,10,3,14
2016-01-03,2,2,5
2016-01-04,1,26,57
2016-01-05,1,33,45
2016-01-06,7,8,92
2016-01-07,3,20,28
2016-01-08,8,21,43
2016-01-09,5,4,6
2016-01-10,27,11,4
2016-01-11,7,28,56
2016-01-12,6,17,31
2016-01-13,10,26,46
2016-01-14,14,22,40
2016-01-15,17,25,32
2016-01-16,7,2,0
2016-01-17,10,3,2
2016-01-18,16,1,75
2016-01-19,4,17,40
2016-01-20,10,4,42
2016-01-21,13,2,55
2016-01-22,8,3,34
2016-01-23,6,3,16
2016-01-24,10,1,4
2016-01-25,11,11,90
2016-01-26,3,11,16
2016-01-27,12,18,50
2016-01-28,18,10,59
2016-01-29,9,2,18
2016-01-30,9,1,3
2016-01-31,25,0,1
2016-02-01,28,25,41
2016-02-02,14,20,33
2016-02-03,10,2,42
2016-02-04,5,18,54
2016-02-05,8,15,47
2016-02-06,5,1,2
2016-02-07,9,0,2
2016-02-08,1,23,33
2016-02-09,35,15,54
2016-02-10,13,20,19
2016-02-11,17,13,25
2016-02-12,2,55,54
2016-02-13,5,4,4
2016-02-14,9,1,7
2016-02-15,27,3,17
2016-02-16,11,25,34
2016-02-17,14,31,30
2016-02-18,2,28,50
2016-02-19,8,9,79
2016-02-20,6,0,6
2016-02-21,18,4,15
2016-02-22,21,14,54
2016-02-23,18,6,34
2016-02-24,5,3,41
2016-02-25,9,23,48
2016-02-26,2,13,23
2016-02-27,8,0,0
2016-02-28,13,16,7
2016-02-29,10,13,33
2016-03-01,6,79,50
2016-03-02,20,6,20
2016-03-03,2,8,56
2016-03-04,7,20,46
2016-03-05,15,3,4
2016-03-06,0,2,2
2016-03-07,7,12,37
2016-03-08,3,9,53
2016-03-09,7,7,30
2016-03-10,3,21,35
2016-03-11,7,11,68
2016-03-12,0,5,4
2016-03-13,1,5,12
2016-03-14,0,14,21
2016-03-15,3,14,64
2016-03-16,1,4,56
2016-03-17,5,15,45
2016-03-18,4,21,37
2016-03-19,0,4,3
2016-03-20,0,1,1
2016-03-21,2,8,3
2016-03-22,0,12,14
2016-03-23,0,14,25
2016-03-24,1,6,55
2016-03-25,0,27,7
2016-03-26,0,2,0
2016-03-27,0,0,5
2016-03-28,1,21,1
2016-03-29,4,11,29
2016-03-30,5,26,38
2016-03-31,3,18,61
2016-04-01,5,11,34
2016-04-02,2,9,1
2016-04-03,1,1,3
2016-04-04,2,5,35
2016-04-05,0,26,36
2016-04-06,2,13,30
2016-04-07,1,19,47
2016-04-08,6,13,42
2016-04-09,2,8,1
2016-04-10,4,3,1
2016-04-11,6,15,41
2016-04-12,7,9,20
2016-04-13,5,7,44
2016-04-14,1,15,36
2016-04-15,14,18,19
2016-04-16,2,5,7
2016-04-17,100,1,2
