,python/cpython,ruby/ruby,php/php-src
2000-01-05,0,2,6
2000-01-06,0,0,2
2000-01-07,2,1,5
2000-01-08,0,2,1
2000-01-09,4,0,2
2000-01-10,0,0,4
2000-01-11,0,0,0
2000-01-12,3,0,8
2000-01-13,4,0,4
2000-01-14,1,0,1
2000-01-15,0,0,19
2000-01-16,0,0,11
2000-01-17,10,1,5
2000-01-18,1,1,5
2000-01-19,1,0,10
2000-01-20,6,0,2
2000-01-21,1,1,0
2000-01-22,0,0,1
2000-01-23,0,0,0
2000-01-24,4,0,5
2000-01-25,0,0,1
2000-01-26,0,0,5
2000-01-27,0,0,3
2000-01-28,0,0,16
2000-01-29,0,0,12
2000-01-30,6,0,8
2000-01-31,1,0,9
2000-02-01,2,2,17
2000-02-02,6,1,17
2000-02-03,8,0,10
2000-02-04,9,0,4
2000-02-05,4,0,19
2000-02-06,0,0,9
2000-02-07,3,0,7
2000-02-08,9,3,10
2000-02-09,5,0,11
2000-02-10,16,0,36
2000-02-11,5,0,14
2000-02-12,1,0,11
2000-02-13,0,0,17
2000-02-14,12,0,9
2000-02-15,23,0,12
2000-02-16,8,0,20
2000-02-17,14,2,15
2000-02-18,11,1,13
2000-02-19,1,0,20
2000-02-20,0,0,10
2000-02-21,6,2,15
2000-02-22,2,0,17
2000-02-23,10,3,30
2000-02-24,7,0,33
2000-02-25,10,1,14
2000-02-26,4,1,28
2000-02-27,3,0,15
2000-02-28,10,0,11
2000-02-29,8,1,11
2000-03-01,10,0,14
2000-03-02,8,0,14
2000-03-03,11,0,15
2000-03-04,0,0,10
2000-03-05,0,1,13
2000-03-06,20,2,26
2000-03-07,17,1,23
2000-03-08,2,2,5
2000-03-09,3,1,13
2000-03-10,38,0,17
2000-03-11,1,0,14
2000-03-12,0,0,15
2000-03-13,9,1,18
2000-03-14,2,0,11
2000-03-15,1,2,15
2000-03-16,4,0,19
2000-03-17,5,1,5
2000-03-18,9,0,13
2000-03-19,0,0,15
2000-03-20,2,0,5
2000-03-21,3,0,6
2000-03-22,13,0,4
2000-03-23,4,1,5
2000-03-24,6,0,4
2000-03-25,1,0,13
2000-03-26,7,2,22
2000-03-27,4,1,14
2000-03-28,21,0,7
2000-03-29,29,0,15
2000-03-30,20,0,28
2000-03-31,77,1,14
2000-04-01,1,0,22
2000-04-02,2,0,6
2000-04-03,11,0,9
2000-04-04,16,0,16
2000-04-05,12,0,22
2000-04-06,25,0,10
2000-04-07,14,0,19
2000-04-08,3,0,3
2000-04-09,17,0,3
2000-04-10,50,3,11
2000-04-11,19,0,10
2000-04-12,5,1,8
2000-04-13,13,0,9
2000-04-14,8,1,7
2000-04-15,2,0,22
2000-04-16,0,0,9
2000-04-17,2,1,10
2000-04-18,1,2,9
2000-04-19,12,0,23
2000-04-20,0,0,33
2000-04-21,23,1,15
2000-04-22,14,1,5
2000-04-23,5,0,8
2000-04-24,16,0,15
2000-04-25,12,1,5
2000-04-26,13,0,3
2000-04-27,12,0,12
2000-04-28,14,0,13
2000-04-29,0,0,14
